Review,Sentiment
"Nice reception, polite waiters",1
They have amazing service ,1
On the average ,0
It a nice experience being patronizing the place for the first time.,1
Good,1
The restaurant is nice,1
It was a good one,1
Not that great ,1
It's a wonderful place,1
Good ,1
I had a wonderful time ,1
Tasty ,1
"Has a very good ambiance, beautiful environment, Lit decor and most importantly tasty and affordable meals.",1
"The environment was neat and conducive, the food itself is do yummy",1
Tasty fried chicken and delicious meals are always available here.,1
Nice meals and affordable but the flies could not allow me enjoy my meal in peace. So a takeaway option is better.,1
It is a good place for a quick chow,1
Great... But their ice cream is getting smaller,1
"The AC works well, the servers were every polite. The food is good.",1
"Great chicken meals and chip's
",1
Food's are just great and nice,1
This is a no tell everybody like to they how they have good hospitality the securities are very kind and very active,1
A good place to hangout,1
Super amazing customer service. The chicken tastes nice as always.,1
The attendants on duty at the time are quite professional.,1
"Very neat to stop by when you are on transit. Toilets are clean, food is nice. I'll be here over and over again",1
Good but availability of items ....not like KFC...u can say Nigerian KFC.,1
"Located at Habso, still the same signature CR taste (the food). A small space which means the place is mostly crowded i.e longer wait time. Staff need to do but a few are nice.",1
Beautiful and very interesting. The workers are very neat and the manager is very accommodating,1
Chicken had no taste,0
Nice place and very courteous staffs,1
"Cheekwiz is always a problem to get. Unfortunately, the town is a lousy city which could have given room for the nuisances that troop in and out of the place , occupying space without buying food",0
"Avoid the jollof rice if you can. The chicken is not bad, it makes the rice tolerable",0
Not to good location and fewer parking place.,1
Simply Beautiful! It was cozy a nice place to bring the kids to!,1
Good and slowly service,1
There Chicken is tasty & crispy,0
The Aircon was super chilly,0
Bad experience,0
Friendly customers service. Those it's kinda small building but it's making sense,1
"A nice little stopover in Lokoja. It's quite neat and orderly don't know if it's new otherwise it's well maintained really. The price of a plate of rice is very fair although the taste is not great. There are other snack and little chops out in the compound around it. No accessibility features of any kind,restrooms in order",1
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
A great touch.,1
Service was very prompt.,1
Would not go back.,1
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",0
The shrimp tender and moist.,1
"The burger is good beef, cooked just right.",1
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",1
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1
The ambience is wonderful and there is music playing.,1
This is a great restaurant at the Mandalay Bay.,1
Crostini that came with the salad was stale.,0
the staff is friendly and the joint is always clean.,1
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0
I was seated immediately.,1
The food was very good.,1
All the bread is made in-house!,1
The selection was probably the worst I've seen in Vegas.....there was none.,0
They dropped more than the ball.,1
RUDE & INCONSIDERATE MANAGEMENT.,0
"Furthermore, you can't even find hours of operation on the website!",1
What a mistake that was!,1
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1
I never come again.,1
